console,game,rank,publisher,critic_score,units_sold,release_date
GB,Soukoban Densetsu: Hikari to Yamo no Kuni,181,J-Wing,,,1999-12-25
GB,Shikakei Atama o Kore Kusuru,182,Imagineer,,,1998-06-26
GB,Bonk's Adventure,183,Hudson Soft,,,1992-12-01
GB,Great Greed,184,Namco,,,1993-01-01
GB,Ninja Boy 2,185,Culture Brain,,,1993-04-01
GB,Mahou Kishi Rayearth,186,Tomy Corporation,,,1995-06-02
GB,Super 1 Karting,187,Midas Interactive Entertainment,,,2001-08-03
GB,Pocket Color Mahjong,188,Bottom Up,,,1999-12-22
GB,Batman: Return of the Joker,189,Sunsoft,,,1992-05-01
GB,Higashio Osamu Kanshuu Pro Yakyuu Stadium '91,190,Tokuma Shoten,,,1991-08-09
GB,Qui Qui,191,Mahou,,,1999-03-26
GB,Disney's TaleSpin,192,Capcom,,,1992-12-01
GB,WWF Raw (1994),193,Accolade,,,1994-12-01
GB,Macross 7:Ginger no Heart o Furuwa Sero!!,194,Epoch,,,2000-03-17
GB,Tootuff,195,Infogrames,,,2001-06-15
GB,Battle City,196,Namco,,,1991-08-09
GB,FIFA: Road to World Cup 98,197,THQ,,,1997-01-01
GB,Lunar Lander,198,Pack-In-Video,,,1990-09-21
GB,Army Men: Air Combat,199,3DO,,,2000-11-01
GB,Kotobattle: Tengai no Moribito,200,Alphastar,,,2001-03-09
GB,Tweety's High-Flying Adventure,201,Kemco,,,2000-11-01
GB,Shin SD Gundam Gaiden: Knight Gundam Monogatari,202,Bandai,,,1994-09-09
GB,Zool,203,GameTek,,,1993-01-01
GB,Frank Thomas Big Hurt Baseball,204,Acclaim Entertainment,,,1995-01-01
GB,Kikou Keisatsu Metal Jack,205,Takara,,,1992-01-08
GB,Antz World Sportz,206,LSP Games,,,2001-01-01
GB,Ms. Pac-Man: Special Color Edition,207,Namco,,,1999-11-02
GB,Senkai Ibunroku Juuntsutsumi Taisen,208,Banpresto,,,2000-11-24
GB,Asteroids (GBC),209,Activision,,,1999-09-01
GB,Small Soldiers,210,THQ,,,1998-01-01
GB,Gamera: The Guardian of the Universe,211,Angel Studios,,,1995-03-03
GB,Monopoly,212,Parker Bros.,,,1991-12-01
GB,Zoboomafoo: Playtime in Zobooland,213,Encore,,,2001-10-01
GB,Mary-Kate and Ashley: Winner's Circle,214,Acclaim Entertainment,,,2001-03-02
GB,The Shutokou Racing,215,Pony Canyon,,,1998-12-18
GB,Kininkou Maroku Oni,216,Banpresto,,,1990-12-08
GB,The Amazing Spider-Man 2,217,LJN,,,1992-08-01
GB,Ghostbusters II,218,Activision,,,1990-12-01
GB,Roger Clemens' MVP Baseball,219,LJN,,,1992-09-01
GB,Kaijuu-On Godzilla,220,Bandai,,,1993-12-17
GB,Spacenet: Cosmo Red / Blue,221,Imagineer,,,2001-03-16
GB,Koukou Nyuushideru Jun: Rekishi Nendai Anki Point 240,222,Imagineer,,,1997-09-26
GB,Cyraid,223,Nexoft,,,1991-03-01
GB,Penguin Wars,224,ASCII Entertainment,,,1990-07-02
GB,Front Row,225,KID,,,1999-10-01
GB,720°,226,Midway Games,,,1999-03-01
GB,Super Doll Rika-Chan: Kisekae Taisakusen,227,Unknown,,,2000-10-06
GB,Sanrio Uranai Party,228,Imagineer,,,1997-12-05
GB,Battle of Kingdom,229,Meldac,,,1991-12-13
GB,Home Alone 2: Lost in New York,230,THQ,,,1992-10-01
GB,NBA Jam Tournament Edition,231,Acclaim Entertainment,,,1995-06-01
GB,Metal Walker,232,Capcom,,,2001-02-01
GB,The Powerpuff Girls: Paint the Townsville Green,233,BAM! Entertainment,,,2000-11-01
GB,Medarot 2: Parts Collection,234,Imagineer,,,1999-10-29
GB,Berlitz French Translator,235,GameTek,,,1991-09-01
GB,Pac-Man,236,Namco,,,1991-04-01
GB,Kelly Club: Clubhouse Fun,237,Knowledge Adventure,,,2001-10-31
GB,Titus the Fox (GBC),238,Titus,,,2000-11-01
GB,Bo Jackson's Hit and Run! Baseball and Football,239,THQ,,,1991-06-01
GB,Pocket Bomberman (GBC),240,Hudson Soft,,,1998-12-10
GB,Looney Tunes: Carrot Crazy,241,Infogrames,,,1999-04-01
GB,Record of Lodoss War: Eiyuu Kishiden GB,242,Tomy Corporation,,,1998-12-11
GB,R-Type,243,Irem Software Engineering,,,1991-05-01
GB,Snoopy's Magic Show,244,Kemco,,,1990-10-01
GB,Hercules: The Legendary Journeys,245,Titus,,,2002-04-01
GB,New Ghostbusters II,246,Activision,,,1990-01-01
GB,Rolan's Curse,247,Sammy Corporation,,,1991-01-01
GB,Spot: The Cool Adventure,248,Virgin Interactive,,,1993-01-06
GB,Initial D Gaiden,249,Kodansha,,,1998-03-06
GB,The Sword of Hope,250,Seika,,,1991-06-01
GBA,Pokémon Ruby / Sapphire Version,1,Nintendo,8.8,16219999.999999998,2003-03-17
GBA,Pokémon FireRed / LeafGreen Version,2,Nintendo,8.3,12000000.0,2004-09-07
GBA,Pokémon Emerald Version,3,Nintendo,7.7,7060000.0,2005-04-30
GBA,Mario Kart: Super Circuit,4,Nintendo,9.3,5910000.0,2001-08-26
GBA,Super Mario World: Super Mario Advance 2,5,Nintendo,9.4,5690000.0,2002-02-09
GBA,Super Mario Advance,6,Nintendo,8.2,5570000.0,2001-06-10
GBA,Super Mario Advance 4: Super Mario Bros. 3,7,Nintendo,9.2,5430000.0,2003-10-21
GBA,Namco Museum,8,Namco,,,2001-06-10
GBA,Pac-Man Collection,9,Namco,,,2001-07-12
GBA,Yoshi's Island: Super Mario Advance 3,10,Nintendo,,2830000.0,2002-09-24
GBA,Finding Nemo,11,THQ,7.0,,2003-05-10
GBA,The Legend of Zelda: A Link to the Past,12,Nintendo,9.6,2820000.0,2002-12-03
GBA,Frogger's Adventures: Temple of the Frog,13,Konami,6.7,,2001-10-24
GBA,Pokémon Mystery Dungeon: Red Rescue Team,14,Nintendo,,2360000.0,2006-09-18
GBA,Classic NES Series: Super Mario Bros.,15,Nintendo,8.3,2270000.0,2004-06-02
GBA,Sonic Advance,16,Sega,,,2002-02-04
GBA,Spyro: Season of Ice,17,Vivendi Games,,,2001-10-29
GBA,Wario Land 4,18,Nintendo,,2200000.0,2001-11-18
GBA,Mario & Luigi: Superstar Saga,19,Nintendo,8.8,2150000.0,2003-11-17
GBA,Kirby: Nightmare in Dream Land,20,Nintendo,8.1,2100000.0,2002-12-02
GBA,The Incredibles,21,THQ,5.4,,2004-10-31
GBA,Harry Potter and the Chamber of Secrets,22,Electronic Arts,7.2,,2002-11-14
GBA,2 Games in 1: Sonic Advance & ChuChu Rocket!,23,THQ,,,2005-11-11
GBA,Donkey Kong Country,24,Nintendo,7.5,1820000.0,2003-06-09
GBA,Sonic Advance 2,25,Sega,,,2003-03-09
GBA,The Legend of Zelda: The Minish Cap,26,Nintendo,8.9,1760000.0,2005-01-10
GBA,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,27,THQ,,,2007-02-27
GBA,2 Games in 1: Disney Princess & The Lion King,28,THQ,,,2004-12-01
GBA,Crash Bandicoot: The Huge Adventure,29,Vivendi Games,8.3,,2002-02-25
GBA,Tetris Worlds,30,THQ,,,2001-09-05
GBA,Final Fantasy Tactics Advance,31,Nintendo,,1700000.0,2003-09-08
