Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
6,Super Mario Advance,Super Mario Advance,,Nintendo,,8.2,,5.57m,10th Jun 01,,,GBA
7,Super Mario Advance 4: Super Mario Bros. 3,Super Mario Advance 4: Super Mario Bros. 3,,Nintendo,,9.2,,5.43m,21st Oct 03,,,GBA
8,Namco Museum,Namco Museum,,Namco,,,,,10th Jun 01,,,GBA
9,Pac-Man Collection,Pac-Man Collection,,Namco,,,,,12th Jul 01,,,GBA
10,Yoshi's Island: Super Mario Advance 3,Yoshi's Island: Super Mario Advance 3,,Nintendo,,,,2.83m,24th Sep 02,,,GBA
11,Finding Nemo,Finding Nemo,,THQ,,7.0,,,10th May 03,,,GBA
12,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,Nintendo,,9.6,,2.82m,03rd Dec 02,,,GBA
13,Frogger's Adventures: Temple of the Frog,Frogger's Adventures: Temple of the Frog,,Konami,,6.7,,,24th Oct 01,,,GBA
14,Pokémon Mystery Dungeon: Red Rescue Team,Pokémon Mystery Dungeon: Red Rescue Team,,Nintendo,,,,2.36m,18th Sep 06,,,GBA
15,Classic NES Series: Super Mario Bros.,Classic NES Series: Super Mario Bros.,,Nintendo,,8.3,,2.27m,02nd Jun 04,,,GBA
16,Sonic Advance,Sonic Advance,,Sega,,,,,04th Feb 02,,,GBA
17,Spyro: Season of Ice,Spyro: Season of Ice,,Vivendi Games,,,,,29th Oct 01,,,GBA
18,Wario Land 4,Wario Land 4,,Nintendo,,,,2.20m,18th Nov 01,,,GBA
19,Mario & Luigi: Superstar Saga,Mario & Luigi: Superstar Saga,,Nintendo,,8.8,,2.15m,17th Nov 03,,,GBA
20,Kirby: Nightmare in Dream Land,Kirby: Nightmare in Dream Land,,Nintendo,,8.1,,2.10m,02nd Dec 02,20th Apr 18,,GBA
21,The Incredibles,The Incredibles,,THQ,,5.4,,,31st Oct 04,,,GBA
22,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,,Electronic Arts,,7.2,,,14th Nov 02,,,GBA
23,2 Games in 1: Sonic Advance & ChuChu Rocket!,2 Games in 1: Sonic Advance & ChuChu Rocket!,,THQ,,,,,11th Nov 05,,,GBA
24,Donkey Kong Country,Donkey Kong Country,,Nintendo,,7.5,,1.82m,09th Jun 03,,,GBA
25,Sonic Advance 2,Sonic Advance 2,,Sega,,,,,09th Mar 03,,,GBA
26,The Legend of Zelda: The Minish Cap,The Legend of Zelda: The Minish Cap,,Nintendo,,8.9,,1.76m,10th Jan 05,,,GBA
27,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,,THQ,,,,,27th Feb 07,,,GBA
28,2 Games in 1: Disney Princess & The Lion King,2 Games in 1: Disney Princess & The Lion King,,THQ,,,,,01st Dec 04,,,GBA
29,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure,,Vivendi Games,,8.3,,,25th Feb 02,,,GBA
30,Tetris Worlds,Tetris Worlds,,THQ,,,,,05th Sep 01,,,GBA
31,Final Fantasy Tactics Advance,Final Fantasy Tactics Advance,,Nintendo,,,,1.70m,08th Sep 03,,,GBA
32,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,,Electronic Arts,,6.6,,,15th Nov 01,,,GBA
33,Dragon Ball Z: The Legacy of Goku,Dragon Ball Z: The Legacy of Goku,,Infogrames,,6.5,,,14th May 02,,,GBA
34,"Monsters, Inc.","Monsters, Inc.",,THQ,,,,,25th Oct 01,,,GBA
35,Golden Sun,Golden Sun,,Nintendo,,9.1,,1.65m,11th Nov 01,,,GBA
36,Kingdom Hearts: Chain of Memories,Kingdom Hearts: Chain of Memories,,Square Enix,,7.4,,1.60m,07th Dec 04,,,GBA
37,Metroid Fusion,Metroid Fusion,,Nintendo,,9.0,,1.60m,17th Nov 02,,,GBA
38,Spyro 2: Season of Flame,Spyro 2: Season of Flame,,Vivendi Games,,,,,25th Sep 02,,,GBA
39,Disney Princess,Disney Princess,,THQ,,,,,04th Apr 03,,,GBA
40,Kirby & the Amazing Mirror,Kirby & the Amazing Mirror,,Nintendo,,7.9,,1.47m,18th Oct 04,,,GBA
41,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,,THQ,,,,,27th Oct 04,,,GBA
42,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,,Konami,,,,1.46m,08th Apr 03,,,GBA
43,Classic NES Series: Super Mario Bros.,Classic NES Series: Super Mario Bros.,,Nintendo,,,,,02nd Jun 04,,,GBA
44,Sonic Advance 3,Sonic Advance 3,,THQ,,,,,07th Jun 04,,,GBA
45,Mario vs. Donkey Kong,Mario vs. Donkey Kong,,Nintendo,,,,1.37m,24th May 04,,,GBA
46,Pokémon Pinball: Ruby & Sapphire (Old all region sales),Pokémon Pinball: Ruby & Sapphire (Old all region sales),,Nintendo,,,,1.37m,26th Aug 03,04th Sep 18,,GBA
47,Crash Bandicoot 2: N-Tranced,Crash Bandicoot 2: N-Tranced,,Vivendi Games,,7.5,,,07th Jan 03,,,GBA
48,Mega Man Battle Network 4: Red Sun / Blue Moon,Mega Man Battle Network 4: Red Sun / Blue Moon,,Capcom,,,,1.35m,29th Jun 04,,,GBA
49,Spider-Man: The Movie,Spider-Man: The Movie,,Activision,,7.9,,,16th Apr 02,,,GBA
50,The Sims: Bustin' Out,The Sims: Bustin' Out,,Electronic Arts,,,,,02nd Dec 03,,,GBA
51,Yu-Gi-Oh! The Sacred Cards,Yu-Gi-Oh! The Sacred Cards,,Konami,,,,,04th Nov 03,,,GBA
52,Mega Man Battle Network 3 Blue / White Version,Mega Man Battle Network 3 Blue / White Version,,Capcom,,,,,24th Jun 03,,,GBA
53,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,,TDK Mediactive,,,,,01st Jul 03,,,GBA
54,Spongebob Squarepants: Battle for Bikini Bottom,Spongebob Squarepants: Battle for Bikini Bottom,,THQ,,,,,31st Oct 03,,,GBA
55,Yu-Gi-Oh! The Eternal Duelist Soul,Yu-Gi-Oh! The Eternal Duelist Soul,,Konami,,,,1.23m,15th Oct 02,,,GBA
56,Donkey Kong Country 2,Donkey Kong Country 2,,Nintendo,,7.6,,,15th Nov 04,,,GBA
57,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,,Majesco,,,,,09th Oct 07,,,GBA
58,The Simpsons: Road Rage,The Simpsons: Road Rage,,THQ,,,,,30th Jun 03,,,GBA
59,SpongeBob SquarePants: Revenge of the Flying Dutchman,SpongeBob SquarePants: Revenge of the Flying Dutchman,,THQ,,,,,10th Sep 02,,,GBA
60,Final Fantasy Tactics Advance,Final Fantasy Tactics Advance,,Square Enix,,8.9,,1.18m,08th Sep 03,,,GBA
61,Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater 2,,Activision,,8.9,,,30th May 01,,,GBA
62,Yu-Gi-Oh! The Sacred Cards (American and Others sales),Yu-Gi-Oh! The Sacred Cards (American and Others sales),,Konami,,,,,04th Nov 03,,,GBA
63,LEGO Star Wars: The Video Game,LEGO Star Wars: The Video Game,,Eidos Interactive,,7.4,,,29th Mar 05,,,GBA
64,Cars,Cars,,THQ,,4.5,,,06th Jun 06,,,GBA
65,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),,Nintendo,,,,,18th Sep 06,,,GBA
66,Golden Sun: The Lost Age,Golden Sun: The Lost Age,,Nintendo,,8.3,,1.12m,14th Apr 03,,,GBA
67,"WarioWare, Inc.: Mega MicroGame$","WarioWare, Inc.: Mega MicroGame$",,Nintendo,,,,1.10m,21st May 03,,,GBA
68,Dragon Ball Z: The Legacy of Goku II,Dragon Ball Z: The Legacy of Goku II,,Atari,,7.6,,,17th Jun 03,,,GBA
69,Dragon Ball Z: Taiketsu,Dragon Ball Z: Taiketsu,,Atari,,3.8,,,24th Nov 03,,,GBA
70,Disney's Lilo & Stitch,Disney's Lilo & Stitch,,Disney Interactive Studios,,8.0,,,07th Jun 02,,,GBA
71,Spider-Man 2,Spider-Man 2,,Activision,,7.0,,,29th Jun 04,,,GBA
72,F-Zero: Maximum Velocity,F-Zero: Maximum Velocity,,Nintendo,,8.7,,1.05m,12th Jun 01,,,GBA
73,Mario Party Advance,Mario Party Advance,,Nintendo,,,,,28th Mar 05,,,GBA
74,Fire Emblem: The Blazing Blade,Fire Emblem: The Blazing Blade,,Nintendo,,8.8,,,03rd Nov 03,23rd Jul 21,,GBA
75,Final Fantasy I & II: Dawn of Souls,Final Fantasy I & II: Dawn of Souls,,Nintendo,,7.1,,0.94m,29th Nov 04,,,GBA
76,Monster Trucks / Quad Desert Fury Double Value!,Monster Trucks / Quad Desert Fury Double Value!,,Majesco,,,,,25th Apr 05,,,GBA
77,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,,THQ,,,,,08th Jun 05,,,GBA
78,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,,Konami,,,,,31st Oct 03,,,GBA
79,Madagascar,Madagascar,,Activision,,5.5,,,23rd May 05,,,GBA
80,Classic NES Series: The Legend of Zelda,Classic NES Series: The Legend of Zelda,,Nintendo,,,,,02nd Jun 04,,,GBA
81,Fire Emblem: The Sacred Stones,Fire Emblem: The Sacred Stones,,Nintendo,,8.4,,,23rd May 05,,,GBA
82,Metroid: Zero Mission,Metroid: Zero Mission,,Nintendo,,8.9,,,09th Feb 04,,,GBA
83,Lizzie McGuire 2: Lizzie Diaries,Lizzie McGuire 2: Lizzie Diaries,,Disney Interactive Studios,,,,,18th Oct 04,,,GBA
84,Secret Agent Barbie: Royal Jewels Mission,Secret Agent Barbie: Royal Jewels Mission,,VU Games,,,,,08th Oct 02,,,GBA
85,Rayman Advance,Rayman Advance,,Ubisoft,,8.4,,0.77m,10th Jun 01,,,GBA
86,Star Wars Episode II: Attack of the Clones,Star Wars Episode II: Attack of the Clones,,THQ,,,,,30th May 02,,,GBA
87,Donkey Kong Country 3,Donkey Kong Country 3,,Nintendo,,7.5,,,07th Nov 05,,,GBA
88,Mega Man Battle Network 6: Cybeast Falzar / Gregar,Mega Man Battle Network 6: Cybeast Falzar / Gregar,,Capcom,,,,,13th Jun 06,,,GBA
89,That's So Raven,That's So Raven,,Buena Vista,,,,,12th Oct 04,,,GBA
90,Yu-Gi-Oh! Dungeon Dice Monsters,Yu-Gi-Oh! Dungeon Dice Monsters,,Konami,,,,,12th Feb 03,,,GBA
91,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,,Electronic Arts,,,,,11th Nov 02,,,GBA
92,WarioWare: Twisted!,WarioWare: Twisted!,,Nintendo,,,,,23rd May 05,,,GBA
93,Classic NES Series: Donkey Kong,Classic NES Series: Donkey Kong,,Nintendo,,,,,02nd Jun 04,,,GBA
94,Beyblade VForce: Ultimate Blader Jam,Beyblade VForce: Ultimate Blader Jam,,Atari,,,,,18th Nov 03,,,GBA
95,Star Wars Episode III: Revenge of the Sith,Star Wars Episode III: Revenge of the Sith,,Ubisoft,,,,,04th May 05,,,GBA
96,Super Monkey Ball Jr.,Super Monkey Ball Jr.,,THQ,,,,,19th Nov 02,,,GBA
97,Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2: Monsters Unleashed,,THQ,,,,,16th Mar 04,,,GBA
98,F-14 Tomcat,F-14 Tomcat,,Majesco,,6.9,,,02nd Sep 01,,,GBA
99,Advance Wars,Advance Wars,,Nintendo,,9.4,,,09th Sep 01,,,GBA
100,Classic NES Series: Zelda II: The Adventure of Link,Classic NES Series: Zelda II: The Adventure of Link,,Nintendo,,6.6,,,25th Oct 04,,,GBA
101,Disney's Chicken Little,Disney's Chicken Little,,Buena Vista,,7.9,,,20th Oct 05,,,GBA
102,Mario Pinball Land,Mario Pinball Land,,Nintendo,,,,,04th Oct 04,,,GBA
103,Shark Tale,Shark Tale,,Activision,,,,,27th Sep 04,,,GBA
104,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,Buena Vista,,6.8,,,14th Nov 05,,,GBA
105,Dragon Quest Monsters: Caravan Heart,Dragon Quest Monsters: Caravan Heart,,Unknown,,,,,31st Dec 20,,,GBA
106,Strawberry Shortcake: Summertime Adventure,Strawberry Shortcake: Summertime Adventure,,Majesco,,,,,16th Nov 04,,,GBA
107,Shrek: Hassle at the Castle,Shrek: Hassle at the Castle,,TDK Mediactive,,,,,10th Oct 02,,,GBA
108,Disney's Kim Possible 2: Drakken's Demise,Disney's Kim Possible 2: Drakken's Demise,,Disney Interactive Studios,,8.3,,,15th Sep 04,,,GBA
109,Yoshi Topsy-Turvy,Yoshi Topsy-Turvy,,Nintendo,,,,,13th Jun 05,,,GBA
110,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,,Majesco,,,,,25th Apr 05,,,GBA
111,Advance Wars 2: Black Hole Rising,Advance Wars 2: Black Hole Rising,,Nintendo,,8.8,,,24th Jun 03,,,GBA
112,Crash Bandicoot Purple: Ripto's Rampage,Crash Bandicoot Purple: Ripto's Rampage,,Vivendi Games,,6.7,,,03rd Jun 04,,,GBA
113,Nicktoons Collection: Game Boy Advance Video Volume 1,Nicktoons Collection: Game Boy Advance Video Volume 1,,Majesco,,,,,22nd Jun 04,,,GBA
114,SpongeBob SquarePants: Game Boy Advance Video Volume 1,SpongeBob SquarePants: Game Boy Advance Video Volume 1,,Majesco,,,,,14th May 04,,,GBA
115,Konami Collector's Series: Arcade Advanced,Konami Collector's Series: Arcade Advanced,,Konami,,8.0,,,21st Mar 02,,,GBA
116,Dogz,Dogz,,Ubisoft,,4.1,,,17th Nov 05,,,GBA
117,The Urbz: Sims in the City,The Urbz: Sims in the City,,Electronic Arts,,,,,09th Nov 04,,,GBA
118,2 Games in 1: Sonic Battle & ChuChu Rocket!,2 Games in 1: Sonic Battle & ChuChu Rocket!,,THQ,,,,,16th Nov 05,,,GBA
119,Dora the Explorer: Super Spies,Dora the Explorer: Super Spies,,Gotham Games,,,,,25th Oct 04,,,GBA
120,Texas Hold 'Em Poker,Texas Hold 'Em Poker,,Majesco,,,,,01st Nov 04,,,GBA
121,Final Fantasy IV Advance,Final Fantasy IV Advance,,Square Enix,,8.6,,,12th Dec 05,,,GBA
122,Madden NFL 2003,Madden NFL 2003,,EA Sports,,,,,12th Aug 02,,,GBA
123,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,,Electronic Arts,,6.0,,,08th Nov 05,,,GBA
124,Dragon Ball Z: Buu's Fury,Dragon Ball Z: Buu's Fury,,Atari,,5.9,,,14th Sep 04,,,GBA
125,Spider-Man: Mysterio's Menace,Spider-Man: Mysterio's Menace,,Activision,,,,,19th Sep 01,,,GBA
126,Game & Watch Gallery 4,Game & Watch Gallery 4,,Nintendo,,6.4,,,28th Oct 02,,,GBA
127,Tony Hawk's Underground,Tony Hawk's Underground,,Activision,,,,,27th Oct 03,,,GBA
128,Monster Trucks,Monster Trucks,,Majesco,,,,,16th Nov 04,,,GBA
129,Harvest Moon: Friends of Mineral Town,Harvest Moon: Friends of Mineral Town,,Natsume,,7.6,,,17th Nov 03,,,GBA
130,Shrek 2: Beg for Mercy,Shrek 2: Beg for Mercy,,Activision,,,,,27th Oct 04,,,GBA
131,Tony Hawk's Pro Skater 4,Tony Hawk's Pro Skater 4,,Activision,,,,,28th Oct 02,,,GBA
132,Spyro Orange: The Cortex Conspiracy,Spyro Orange: The Cortex Conspiracy,,Vivendi Games,,,,,03rd Jun 04,,,GBA
133,The Incredible Hulk,The Incredible Hulk,,Universal Interactive,,6.0,,,27th May 03,,,GBA
134,Ms. Pac-Man Maze Madness,Ms. Pac-Man Maze Madness,,"Destination Software, Inc",,,,,03rd Nov 04,,,GBA
135,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,,Electronic Arts,,7.4,,,05th Nov 03,,,GBA
136,Classic NES Series: Dr. Mario,Classic NES Series: Dr. Mario,,Nintendo,,,,,25th Oct 04,,,GBA
137,Yu-Gi-Oh! World Championship Tournament 2004,Yu-Gi-Oh! World Championship Tournament 2004,,Konami,,,,,10th Feb 04,,,GBA
138,Backyard NFL Football,Backyard NFL Football,,Infogrames,,,,,25th Sep 02,,,GBA
139,Barbie Groovy Games,Barbie Groovy Games,,Universal Interactive,,3.0,,,04th Sep 02,,,GBA
140,Yu-Gi-Oh! Reshef of Destruction,Yu-Gi-Oh! Reshef of Destruction,,Konami,,,,,29th Jun 04,,,GBA
141,Mega Man Zero,Mega Man Zero,,Capcom,,,,,09th Sep 02,,,GBA
142,SpongeBob SquarePants: SuperSponge,SpongeBob SquarePants: SuperSponge,,THQ,,,,,05th Nov 01,,,GBA
143,Tak and the Power of Juju,Tak and the Power of Juju,,THQ,,,,,15th Oct 03,,,GBA
144,The Fairly Odd Parents: Breakin' Da Rules,The Fairly Odd Parents: Breakin' Da Rules,,THQ,,,,,03rd Nov 03,,,GBA
145,Mega Man Battle Network 2,Mega Man Battle Network 2,,Capcom,,,,,17th Jun 02,,,GBA
146,Bratz: Rock Angelz,Bratz: Rock Angelz,,THQ,,,,,01st Jan 05,,,GBA
147,SpongeBob SquarePants: Game Boy Advance Video Volume 2,SpongeBob SquarePants: Game Boy Advance Video Volume 2,,Majesco,,,,,14th May 04,,,GBA
148,Mario Tennis: Power Tour,Mario Tennis: Power Tour,,Nintendo,,,,,05th Dec 05,,,GBA
149,That's So Raven 2: Supernatural Style,That's So Raven 2: Supernatural Style,,Buena Vista,,,,,21st Aug 05,,,GBA
150,Tony Hawk's Pro Skater 3,Tony Hawk's Pro Skater 3,,Activision,,,,,04th Mar 02,,,GBA
151,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,,Electronic Arts,,7.0,,,25th May 04,,,GBA
152,"SpongeBob SquarePants: Lights, Camera, Pants!","SpongeBob SquarePants: Lights, Camera, Pants!",,THQ,,,,,21st Oct 05,,,GBA
153,Disney's Kim Possible: Revenge of Monkey Fist,Disney's Kim Possible: Revenge of Monkey Fist,,Disney Interactive Studios,,5.0,,,13th Nov 02,,,GBA
154,Dragon Ball Z: Supersonic Warriors,Dragon Ball Z: Supersonic Warriors,,Atari,,7.1,,,22nd Jun 04,,,GBA
155,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,,THQ,,,,,13th Sep 04,,,GBA
156,Castlevania: Circle of the Moon,Castlevania: Circle of the Moon,,Konami,,8.9,,0.50m,10th Jun 01,,,GBA
157,Tactics Ogre: The Knight of Lodis,Tactics Ogre: The Knight of Lodis,,Atlus,,8.5,,,11th May 02,,,GBA
158,Tony Hawk's Underground 2,Tony Hawk's Underground 2,,Activision,,,,,04th Oct 04,,,GBA
159,Power Rangers: Dino Thunder,Power Rangers: Dino Thunder,,THQ,,,,,22nd Sep 04,,,GBA
160,Madagascar: Operation Penguin,Madagascar: Operation Penguin,,Activision,,,,,07th Nov 05,,,GBA
161,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed,,"Destination Software, Inc",,,,,15th Mar 04,,,GBA
162,Kouchuu Ouja Mushi King,Kouchuu Ouja Mushi King,,Sega,,,,0.48m,23rd Jun 05,,,GBA
163,Midnight Club: Street Racing,Midnight Club: Street Racing,,"Destination Software, Inc",,,,,14th Nov 01,,,GBA
164,Densetsu no Stafi,Densetsu no Stafi,,Nintendo,,,,,06th Sep 02,,,GBA
165,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,,Buena Vista,,,,,27th Jun 06,,,GBA
166,Kong: The 8th Wonder of the World,Kong: The 8th Wonder of the World,,Ubisoft,,,,,21st Nov 05,,,GBA
167,Iridion 3D,Iridion 3D,,Majesco,,5.6,,,29th May 01,,,GBA
168,Classic NES Series: Pac-Man,Classic NES Series: Pac-Man,,Nintendo,,5.7,,,02nd Jun 04,,,GBA
169,Dragon Ball Z: Collectible Card Game,Dragon Ball Z: Collectible Card Game,,Infogrames,,6.0,,,29th May 02,,,GBA
170,Disney's Kim Possible 3: Team Possible,Disney's Kim Possible 3: Team Possible,,Disney Interactive Studios,,9.0,,,21st Aug 05,,,GBA
171,Stuart Little 2,Stuart Little 2,,Activision,,,,,12th Jul 02,,,GBA
172,Tak 2: The Staff of Dreams,Tak 2: The Staff of Dreams,,THQ,,,,,11th Oct 04,,,GBA
173,Scooby-Doo,Scooby-Doo,,THQ,,,,,15th Nov 01,,,GBA
174,Rugrats: Castle Capers,Rugrats: Castle Capers,,THQ,,,,,24th Sep 01,,,GBA
175,Crash Nitro Kart,Crash Nitro Kart,,Vivendi Games,,7.7,,,11th Nov 03,,,GBA
176,Mother 1+2,Mother 1+2,,Nintendo,,,,,20th Jun 03,,,GBA
177,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,,THQ,,,,,04th Mar 05,,,GBA
178,Yu-Gi-Oh! Destiny Board Traveler,Yu-Gi-Oh! Destiny Board Traveler,,Konami,,,,,26th Oct 04,,,GBA
179,Pokémon Pinball: Ruby & Sapphire (JP weekly sales),Pokémon Pinball: Ruby & Sapphire (JP weekly sales),,Nintendo,,,,,26th Aug 03,,,GBA
180,Tekken Advance,Tekken Advance,,Namco,,8.3,,,28th Jan 02,,,GBA
181,Hot Wheels: Stunt Track Challenge,Hot Wheels: Stunt Track Challenge,,THQ,,5.3,,,10th Nov 04,,,GBA
182,Mario Golf: Advance Tour,Mario Golf: Advance Tour,,Nintendo,,,,,22nd Jun 04,,,GBA
183,Densetsu no Stafi 2,Densetsu no Stafi 2,,Nintendo,,,,,05th Sep 03,,,GBA
184,Scooby-Doo! Mystery Mayhem,Scooby-Doo! Mystery Mayhem,,THQ,,,,,10th Sep 03,,,GBA
185,Battlebots: Design & Destroy,Battlebots: Design & Destroy,,Majesco,,4.0,,,31st Aug 03,,,GBA
186,Power Rangers: S.P.D.,Power Rangers: S.P.D.,,THQ,,,,,08th Sep 05,,,GBA
187,Classic NES Series: Metroid,Classic NES Series: Metroid,,Nintendo,,,,,25th Oct 04,,,GBA
188,Need for Speed Underground 2,Need for Speed Underground 2,,Electronic Arts,,6.5,,,15th Nov 04,,,GBA
189,Nicktoons Unite!,Nicktoons Unite!,,THQ,,,,,27th Oct 05,,,GBA
190,The Powerpuff Girls: Him and Seek,The Powerpuff Girls: Him and Seek,,BAM! Entertainment,,,,,29th Oct 02,,,GBA
191,Mega Man Zero 2,Mega Man Zero 2,,Capcom,,,,,14th Oct 03,,,GBA
192,The Fairly Odd Parents: Game Boy Advance Video Volume 1,The Fairly Odd Parents: Game Boy Advance Video Volume 1,,Majesco,,,,,14th May 04,,,GBA
193,Backyard Baseball,Backyard Baseball,,Atari,,,,,30th May 02,,,GBA
194,Mega Man Battle Network,Mega Man Battle Network,,Capcom,,,,,30th Oct 01,,,GBA
195,Famicom Mini: Super Mario Bros. 2,Famicom Mini: Super Mario Bros. 2,,Nintendo,,,,,10th Aug 04,,,GBA
196,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,,Konami,,,,,15th Feb 05,,,GBA
197,Star Wars Trilogy: Apprentice of the Force,Star Wars Trilogy: Apprentice of the Force,,Ubisoft,,,,,21st Sep 04,,,GBA
198,Lemony Snicket's A Series of Unfortunate Events,Lemony Snicket's A Series of Unfortunate Events,,Activision,,,,,10th Nov 04,,,GBA
199,The Fairly Odd Parents: Game Boy Advance Video Volume 2,The Fairly Odd Parents: Game Boy Advance Video Volume 2,,Majesco,,,,,14th May 04,,,GBA
200,Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,,THQ,,,,,09th Nov 01,,,GBA
201,Dexter's Laboratory Deesaster Strikes,Dexter's Laboratory Deesaster Strikes,,BAM! Entertainment,,6.5,,,26th Sep 01,,,GBA
202,Scooby-Doo and the Cyber Chase,Scooby-Doo and the Cyber Chase,,THQ,,,,,31st Dec 01,,,GBA
203,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),,Konami,,,,,05th Jul 01,,,GBA
204,The Incredibles: Rise of the Underminer,The Incredibles: Rise of the Underminer,,THQ,,,,,01st Nov 05,,,GBA
205,Rocket Power: Dream Scheme,Rocket Power: Dream Scheme,,THQ,,,,,03rd Nov 01,,,GBA
206,Mother 3,Mother 3,,Nintendo,,,,,20th Apr 06,,,GBA
207,Nicktoons: Freeze Frame Frenzy,Nicktoons: Freeze Frame Frenzy,,THQ,,,,,27th Sep 04,,,GBA
208,Disney's Brother Bear,Disney's Brother Bear,,THQ,,,,,04th Nov 03,,,GBA
209,Fire Emblem: Fuuin no Tsurugi,Fire Emblem: Fuuin no Tsurugi,,Nintendo,,,7.0,,29th Mar 02,,,GBA
210,Madden NFL 2005,Madden NFL 2005,,EA Sports,,,,,09th Aug 04,,,GBA
211,The Sims 2,The Sims 2,,Electronic Arts,,,,,24th Oct 05,,,GBA
212,Harry Potter: Quidditch World Cup,Harry Potter: Quidditch World Cup,,Electronic Arts,,4.9,,,28th Oct 03,,,GBA
213,The Cat in the Hat,The Cat in the Hat,,Jack of All Games,,,,,26th Apr 05,,,GBA
214,Ice Age,Ice Age,,Ubisoft,,4.2,,,18th Mar 02,,,GBA
215,Disney's Lilo & Stitch 2: Hamsterveil Havoc,Disney's Lilo & Stitch 2: Hamsterveil Havoc,,Buena Vista,,,,,12th Oct 04,,,GBA
216,Barbie Horse Adventures: Blue Ribbon Race,Barbie Horse Adventures: Blue Ribbon Race,,Knowledge Adventure,,,,,17th Sep 03,,,GBA
217,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,,Square Enix,,,,,14th Nov 03,,,GBA
218,Hamtaro: Ham-Ham Heartbreak,Hamtaro: Ham-Ham Heartbreak,,Nintendo,,8.0,,,08th Apr 03,,,GBA
219,Cubix Robots for Everyone: Clash 'n' Bash,Cubix Robots for Everyone: Clash 'n' Bash,,10TACLE Studios,,,,,24th Jun 02,,,GBA
220,Shaun Palmer's Pro Snowboarder,Shaun Palmer's Pro Snowboarder,,Activision,,,,,27th Nov 01,,,GBA
221,Hamster Club 3,Hamster Club 3,,Jorudan,,,,,29th Mar 02,,,GBA
222,Super Robot Taisen A,Super Robot Taisen A,,Banpresto,,,,,21st Sep 01,,,GBA
223,Backyard Baseball 2006,Backyard Baseball 2006,,Atari,,,,,16th Mar 05,,,GBA
224,Disney's Tarzan: Return to the Jungle,Disney's Tarzan: Return to the Jungle,,Activision,,6.9,,,14th Sep 02,,,GBA
225,Star Wars: Flight of the Falcon,Star Wars: Flight of the Falcon,,THQ,,,,,18th Nov 03,,,GBA
226,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,,THQ,,5.5,,,24th Sep 03,,,GBA
227,Risk / Battleship / Clue,Risk / Battleship / Clue,,DSI Games,,,,,21st Aug 05,,,GBA
228,The Wild Thornberrys Movie,The Wild Thornberrys Movie,,THQ,,,,,13th Nov 02,,,GBA
