Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
125,Fire Emblem Warriors,Fire Emblem Warriors,,Nintendo,,7.3,9.6,,20th Oct 17,03rd Aug 20,,NS
126,Rune Factory 5,Rune Factory 5 Read the review,,Marvelous Entertainment,7.0,,,0.50m,22nd Mar 22,13th Feb 19,,NS
127,Live A Live,Live A Live,,Nintendo,,,,0.50m,22nd Jul 22,02nd Sep 22,,NS
128,Fishing Spirits,Fishing Spirits,,Bandai Namco Games,,,,0.50m,25th Jul 19,08th Jul 20,,NS
129,Sonic Mania,Sonic Mania,,Sega,,8.8,,,15th Aug 17,23rd Dec 17,,NS
130,Minecraft: Story Mode - The Complete Adventure,Minecraft: Story Mode - The Complete Adventure,,Telltale Games,,,,,22nd Aug 17,07th Aug 18,,NS
131,Hyrule Warriors: Definitive Edition,Hyrule Warriors: Definitive Edition Read the review,,Nintendo,7.0,8.0,,,18th May 18,30th Dec 19,,NS
132,L.A. Noire,L.A. Noire,,Rockstar Games,,7.9,8.0,,14th Nov 17,19th Jun 18,,NS
133,LEGO DC Super-Villains,LEGO DC Super-Villains,,Warner Bros. Interactive Entertainment,,7.8,,,16th Oct 18,04th Jun 18,,NS
134,NBA 2K18,NBA 2K18,,2K Sports,,7.5,,,19th Sep 17,05th Jan 18,,NS
135,Doom (2016),Doom (2016),,Bethesda Softworks,,8.2,9.1,,10th Nov 17,05th Jan 18,,NS
136,Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo Labo: Toy-Con 03 Vehicle Kit,,Nintendo,,7.0,,,14th Sep 18,19th Nov 18,,NS
137,Rocket League,Rocket League,,505 Games,,9.2,,,16th Jan 18,04th Apr 18,,NS
138,The Lego Ninjago Movie Videogame,The Lego Ninjago Movie Videogame,,Warner Bros. Interactive Entertainment,,,,,22nd Sep 17,29th May 18,,NS
139,Go Vacation,Go Vacation,,Nintendo,,,,,27th Jul 18,30th Mar 19,,NS
140,Shovel Knight,Shovel Knight,,Yacht Club Games,,9.0,,0.37m,09th Apr 19,28th Jan 19,,NS
141,Nintendo Labo: Toy-Con 02 Robot Kit,Nintendo Labo: Toy-Con 02 Robot Kit,,Nintendo,,7.0,,,20th Apr 18,18th Nov 18,,NS
142,Mega Man 11,Mega Man 11,,Capcom,,8.0,,,02nd Oct 18,12th Sep 18,,NS
143,LEGO Harry Potter Collection,LEGO Harry Potter Collection Read the review,,Warner Bros. Interactive Entertainment,6.0,,,,30th Oct 18,27th Oct 18,,NS
144,Cars 3: Driven to Win,Cars 3: Driven to Win,,Warner Bros. Interactive Entertainment,,,,,13th Jun 17,25th Feb 18,,NS
145,Warriors Orochi 4,Warriors Orochi 4,,Koei Tecmo,,8.5,,0.31m,16th Oct 18,11th Nov 18,,NS
146,Monopoly for Nintendo Switch,Monopoly for Nintendo Switch,,Ubisoft,,5.3,,,31st Oct 17,28th Jan 19,,NS
147,NBA 2K19,NBA 2K19,,2K Sports,,,,,11th Sep 18,08th Jun 18,,NS
